scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
fixed_S2_validation_figure,phihyd_surface,persistence,50,0.02547524931530158,1.0,0.3597833771398664
fixed_S2_validation_figure,phihyd_surface,persistence,60,0.029830619444449744,1.0,0.4170830293859266
fixed_S2_validation_figure,phihyd_surface,persistence,70,0.03177366033196449,1.0,0.44403148481796806
fixed_S2_validation_figure,phihyd_surface,persistence,80,0.02989853968222936,1.0,0.41966392102722877
fixed_S2_validation_figure,phihyd_surface,persistence,90,0.03154550592104594,1.0,0.44078190991586647
fixed_S2_validation_figure,phihyd_surface,persistence,100,0.03177172007660071,1.0,0.4421402046044765
fixed_S2_validation_figure,phihyd_surface,persistence,110,0.028518521040678025,1.0,0.3967840380429256
fixed_S2_validation_figure,phihyd_surface,persistence,120,0.023495807374517123,1.0,0.3263921315465637
fixed_S2_validation_figure,phihyd_surface,persistence,130,0.01802715038259824,1.0,0.2510859264970631
fixed_S2_validation_figure,phihyd_surface,persistence,140,0.014412725841005643,1.0,0.2010916082399336
fixed_S2_validation_figure,phihyd_surface,persistence,150,0.004392039294665058,1.0,0.06102789060517248
fixed_S2_validation_figure,phihyd_surface,persistence,160,0.010200129045794407,1.0,0.14184635042583388
fixed_S2_validation_figure,phihyd_surface,persistence,170,0.01639244711647431,1.0,0.22844027037174588
fixed_S2_validation_figure,phihyd_surface,persistence,180,0.019735157986481986,1.0,0.2733567690709798
fixed_S2_validation_figure,phihyd_surface,persistence,190,0.025188569848736127,1.0,0.349278196833613
fixed_S2_validation_figure,phihyd_surface,persistence,200,0.025312833239634833,1.0,0.3521880998895063
